temp	var	treat(µM-h)	det	rep	%g
20C	Zarfam	150-24	deterioration then prime	1	20
20C	Zarfam	150-24	deterioration then prime	2	48
20C	Zarfam	150-24	deterioration then prime	3	68
20C	Zarfam	150-40	non deteriorated	1	92
20C	Zarfam	150-40	non deteriorated	2	92
20C	Zarfam	150-40	non deteriorated	3	94
20C	Zarfam	150-40	prime then deterioration	1	44
20C	Zarfam	150-40	prime then deterioration	2	42
20C	Zarfam	150-40	prime then deterioration	3	46
20C	Zarfam	150-40	deterioration then prime	1	38
20C	Zarfam	150-40	deterioration then prime	2	2
20C	Zarfam	150-40	deterioration then prime	3	6
20C	Zarfam	hydro	non deteriorated	1	96
20C	Zarfam	hydro	non deteriorated	2	94
20C	Zarfam	hydro	non deteriorated	3	98
20C	Zarfam	hydro	prime then deterioration	1	40
20C	Zarfam	hydro	prime then deterioration	2	44
20C	Zarfam	hydro	prime then deterioration	3	36
20C	Zarfam	hydro	deterioration then prime	1	44
20C	Zarfam	hydro	deterioration then prime	2	48
20C	Zarfam	hydro	deterioration then prime	3	70
20C	Zarfam	c	non deteriorated	1	92
20C	Zarfam	c	non deteriorated	2	90
20C	Zarfam	c	non deteriorated	3	90
20C	Zarfam	c	prime then deterioration	1	0
20C	Zarfam	c	prime then deterioration	2	0
20C	Zarfam	c	prime then deterioration	3	0
20C	Zarfam	c	deterioration then prime	1	0
20C	Zarfam	c	deterioration then prime	2	0
20C	Zarfam	c	deterioration then prime	3	4
20C	RGS003	50-24	non deteriorated	1	84
20C	RGS003	50-24	non deteriorated	2	100
20C	RGS003	50-24	non deteriorated	3	98
20C	RGS003	50-24	prime then deterioration	1	0
20C	RGS003	50-24	prime then deterioration	2	0
20C	RGS003	50-24	prime then deterioration	3	0
20C	RGS003	50-24	deterioration then prime	1	58
20C	RGS003	50-24	deterioration then prime	2	78
20C	RGS003	50-24	deterioration then prime	3	52
20C	RGS003	50-40	non deteriorated	1	94
20C	RGS003	50-40	non deteriorated	2	98
20C	RGS003	50-40	non deteriorated	3	92
20C	RGS003	50-40	prime then deterioration	1	22
20C	RGS003	50-40	prime then deterioration	2	26
20C	RGS003	50-40	prime then deterioration	3	18
20C	RGS003	50-40	deterioration then prime	1	82
20C	RGS003	50-40	deterioration then prime	2	80
20C	RGS003	50-40	deterioration then prime	3	78
20C	RGS003	100-24	non deteriorated	1	94
20C	RGS003	100-24	non deteriorated	2	100
20C	RGS003	100-24	non deteriorated	3	100
20C	RGS003	100-24	prime then deterioration	1	10
20C	RGS003	100-24	prime then deterioration	2	12
20C	RGS003	100-24	prime then deterioration	3	8
20C	RGS003	100-24	deterioration then prime	1	66
20C	RGS003	100-24	deterioration then prime	2	66
20C	RGS003	100-24	deterioration then prime	3	56
20C	RGS003	100-40	non deteriorated	1	100
20C	RGS003	100-40	non deteriorated	2	94
20C	RGS003	100-40	non deteriorated	3	98
20C	RGS003	100-40	prime then deterioration	1	46
20C	RGS003	100-40	prime then deterioration	2	50
20C	RGS003	100-40	prime then deterioration	3	42
20C	RGS003	100-40	deterioration then prime	1	78
20C	RGS003	100-40	deterioration then prime	2	14
20C	RGS003	100-40	deterioration then prime	3	80
20C	RGS003	150-24	non deteriorated	1	98
20C	RGS003	150-24	non deteriorated	2	96
20C	RGS003	150-24	non deteriorated	3	98
20C	RGS003	150-24	prime then deterioration	1	22
20C	RGS003	150-24	prime then deterioration	2	24
20C	RGS003	150-24	prime then deterioration	3	20
20C	RGS003	150-24	deterioration then prime	1	62
20C	RGS003	150-24	deterioration then prime	2	38
20C	RGS003	150-24	deterioration then prime	3	38
20C	RGS003	150-40	non deteriorated	1	94
20C	RGS003	150-40	non deteriorated	2	96
20C	RGS003	150-40	non deteriorated	3	98
20C	RGS003	150-40	prime then deterioration	1	44
20C	RGS003	150-40	prime then deterioration	2	46
20C	RGS003	150-40	prime then deterioration	3	42
20C	RGS003	150-40	deterioration then prime	1	22
20C	RGS003	150-40	deterioration then prime	2	40
20C	RGS003	150-40	deterioration then prime	3	42
20C	RGS003	hydro	non deteriorated	1	96
20C	RGS003	hydro	non deteriorated	2	90
20C	RGS003	hydro	non deteriorated	3	92
20C	RGS003	hydro	prime then deterioration	1	12
20C	RGS003	hydro	prime then deterioration	2	10
20C	RGS003	hydro	prime then deterioration	3	14
20C	RGS003	hydro	deterioration then prime	1	64
20C	RGS003	hydro	deterioration then prime	2	44
20C	RGS003	hydro	deterioration then prime	3	74
20C	RGS003	c	non deteriorated	1	96
20C	RGS003	c	non deteriorated	2	90
20C	RGS003	c	non deteriorated	3	80
20C	RGS003	c	prime then deterioration	1	0
20C	RGS003	c	prime then deterioration	2	0
20C	RGS003	c	prime then deterioration	3	0
20C	RGS003	c	deterioration then prime	1	62
20C	RGS003	c	deterioration then prime	2	38
20C	RGS003	c	deterioration then prime	3	20
